date,lat,lon
Jan-00,-34.60329819,-58.38159943
Feb-00,33.78850174,-117.8694992
Mar-00,33.7845993,-117.8432999
Apr-00,39.66339874,-84.24230194
May-00,33.94100189,-83.43409729
Jun-00,33.62379837,-117.256897
Jul-00,40.72669983,-73.99810028
Aug-00,45.47629929,-122.6408005
Sep-00,33.94100189,-83.43409729
Oct-00,34.08869934,-118.3277969
Nov-00,40.72800064,-73.94529724
Dec-00,42.05619812,-87.70110321
Jan-01,39.74750137,-84.15609741
Feb-01,40.72140121,-74.00520325
Mar-01,40.9333992,-73.75630188
Apr-01,40.76050186,-73.99330139
May-01,34.125,-118.0495987
Jun-01,29.92709923,-90.09729767
Jul-01,33.88219833,-84.37830353
Aug-01,33.79299927,-84.44319916
Sep-01,33.79299927,-84.44319916
Oct-01,33.74900055,-84.38800049
Nov-01,33.80820084,-84.17019653
Dec-01,40.84669876,-74.19999695
Jan-02,33.79299927,-84.44319916
Feb-02,37.93579865,-122.3478012
Mar-02,33.76330185,-117.7941971
Apr-02,40.68090057,-73.94629669
May-02,40.7804985,-73.95120239
Jun-02,33.79299927,-84.44319916
Jul-02,37.41350174,-122.1312027
Aug-02,35.77209854,-78.63860321
Sep-02,45.67250061,-117.0373001
Oct-02,33.34619904,-111.8153
Nov-02,33.71709824,-84.32879639
Dec-02,40.74209976,-74.00180054
Jan-03,44.95550156,-93.16699982
Feb-03,39.69509888,-105.0024033
Mar-03,40.33380127,-74.79090118
Apr-03,-34.60329819,-58.38159943
May-03,33.78850174,-117.8694992
Jun-03,33.7845993,-117.8432999
Jul-03,39.66339874,-84.24230194
Aug-03,33.94100189,-83.43409729
Sep-03,33.62379837,-117.256897
Oct-03,40.72669983,-73.99810028
Nov-03,45.47629929,-122.6408005
Dec-03,33.94100189,-83.43409729
Jan-04,34.08869934,-118.3277969
Feb-04,40.72800064,-73.94529724
Mar-04,42.05619812,-87.70110321
Apr-04,39.74750137,-84.15609741
May-04,40.72140121,-74.00520325
Jun-04,40.9333992,-73.75630188
Jul-04,40.76050186,-73.99330139
Aug-04,34.125,-118.0495987
Sep-04,29.92709923,-90.09729767
Oct-04,33.88219833,-84.37830353
Nov-04,33.79299927,-84.44319916
Dec-04,33.79299927,-84.44319916
Jan-05,33.74900055,-84.38800049
Feb-05,33.80820084,-84.17019653
Mar-05,40.84669876,-74.19999695
Apr-05,33.79299927,-84.44319916
May-05,37.93579865,-122.3478012
Jun-05,33.76330185,-117.7941971
Jul-05,40.68090057,-73.94629669
Aug-05,40.7804985,-73.95120239
Sep-05,33.79299927,-84.44319916
Oct-05,37.41350174,-122.1312027
Nov-05,35.77209854,-78.63860321
Dec-05,45.67250061,-117.0373001
Jan-06,33.34619904,-111.8153
Feb-06,33.71709824,-84.32879639
Mar-06,40.74209976,-74.00180054
Apr-06,44.95550156,-93.16699982
May-06,39.69509888,-105.0024033
Jun-06,40.33380127,-74.79090118
Jul-06,-34.60329819,-58.38159943
Aug-06,33.78850174,-117.8694992
Sep-06,33.7845993,-117.8432999
Oct-06,39.66339874,-84.24230194
Nov-06,33.94100189,-83.43409729
Dec-06,33.62379837,-117.256897
Jan-07,40.72669983,-73.99810028
Feb-07,45.47629929,-122.6408005
Mar-07,33.94100189,-83.43409729
Apr-07,34.08869934,-118.3277969
May-07,40.72800064,-73.94529724
Jun-07,42.05619812,-87.70110321
Jul-07,39.74750137,-84.15609741
Aug-07,40.72140121,-74.00520325
Sep-07,40.9333992,-73.75630188
Oct-07,40.76050186,-73.99330139
Nov-07,34.125,-118.0495987
Dec-07,29.92709923,-90.09729767
Jan-08,33.88219833,-84.37830353
Feb-08,33.79299927,-84.44319916
Mar-08,33.79299927,-84.44319916
Apr-08,33.74900055,-84.38800049
May-08,33.80820084,-84.17019653
Jun-08,40.84669876,-74.19999695
Jul-08,33.79299927,-84.44319916
Aug-08,37.93579865,-122.3478012
Sep-08,33.76330185,-117.7941971
Oct-08,40.68090057,-73.94629669
Nov-08,40.7804985,-73.95120239
Dec-08,33.79299927,-84.44319916
Jan-09,37.41350174,-122.1312027
Feb-09,35.77209854,-78.63860321
Mar-09,45.67250061,-117.0373001
Apr-09,33.34619904,-111.8153
May-09,33.71709824,-84.32879639
Jun-09,40.74209976,-74.00180054
Jul-09,44.95550156,-93.16699982
Aug-09,39.69509888,-105.0024033
Sep-09,40.33380127,-74.79090118
Oct-09,45.67250061,-117.0373001
Nov-09,33.34619904,-111.8153
Dec-09,33.71709824,-84.32879639
Jan-10,40.74209976,-74.00180054
Feb-10,44.95550156,-93.16699982
Mar-10,39.69509888,-105.0024033
